	Study	Subgroup within study	Comparison	Outcome (specific)	Time point	Correlation	Std Err	Fisher's Z	Std Err	Outcome Group	outcome type	study design	media type	Ferguson	Citation
56	"Möller, I., Krahé, B., & Busching, R. (2013). "	Blank	Blank	physisch	Blank	0.06	3.08E-02	6.01E-02	3.09E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Möller, I., Krahé, B., & Busching, R. (2013). Mediengewaltkonsum und aggressives Verhalten: Ein längsschnittlicher Vergleich von Jugendlichen mit und ohne Migrationshintergrund. Zeitschrift für Entwicklungspsychologie und Pädagogische Psychologie, 45, 121-130."
57	"Möller, I., Krahé, B., & Busching, R. (2013). "	Blank	Blank	physisch aggr (1 ohne Migration)	Blank	0.37	2.66E-02	0.3884231	3.09E-02	behavior	antisocial/negative	correlational	antisocial	3	"Möller, I., Krahé, B., & Busching, R. (2013). Mediengewaltkonsum und aggressives Verhalten: Ein längsschnittlicher Vergleich von Jugendlichen mit und ohne Migrationshintergrund. Zeitschrift für Entwicklungspsychologie und Pädagogische Psychologie, 45, 121-130."
58	"Möller, I., Krahé, B., & Busching, R. (2013). "	Blank	Blank	relational	Blank	0	3.09E-02	0	3.09E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Möller, I., Krahé, B., & Busching, R. (2013). Mediengewaltkonsum und aggressives Verhalten: Ein längsschnittlicher Vergleich von Jugendlichen mit und ohne Migrationshintergrund. Zeitschrift für Entwicklungspsychologie und Pädagogische Psychologie, 45, 121-130."
59	"Möller, I., Krahé, B., & Busching, R. (2013). "	Blank	Blank	relational (1 ohne Migration)	Blank	0.21	2.95E-02	0.213171347	3.09E-02	behavior	antisocial/negative	correlational	antisocial	3	"Möller, I., Krahé, B., & Busching, R. (2013). Mediengewaltkonsum und aggressives Verhalten: Ein längsschnittlicher Vergleich von Jugendlichen mit und ohne Migrationshintergrund. Zeitschrift für Entwicklungspsychologie und Pädagogische Psychologie, 45, 121-130."
60	"Möller, I., & Krahé, B. (2009)."	Blank	Blank	hostile attribution (mean) T1	T1	0.07	5.82E-02	7.01E-02	5.85E-02	cognition	antisocial/negative	correlational	antisocial	3	"Möller, I., & Krahé, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35(1), 75-89.                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
61	"Möller, I., & Krahé, B. (2009)."	Blank	Blank	normative beliefs (mean) T1	T1	0.26	5.46E-02	0.266108407	5.85E-02	cognition	antisocial/negative	correlational	antisocial	3	"Möller, I., & Krahé, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35(1), 75-89.                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
62	"Möller, I., & Krahé, B. (2009)."	Blank	Blank	physical aggression T1 (a)	T1	0.39	7.17E-02	0.411800034	8.45E-02	behavior	antisocial/negative	correlational	antisocial	3	"Möller, I., & Krahé, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35(1), 75-89.                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
63	"Möller, I., & Krahé, B. (2009)."	Blank	Blank	physical aggression T1-T2 (a)	Blank	0.27	7.84E-02	0.276863823	8.45E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Möller, I., & Krahé, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35(1), 75-89.                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
64	"Möller, I., & Krahé, B. (2009)."	Blank	Blank	relational Aggression T1 (b)	T1	0.22	8.04E-02	0.223656109	8.45E-02	behavior	antisocial/negative	correlational	antisocial	3	"Möller, I., & Krahé, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35(1), 75-89.                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
65	"Möller, I., & Krahé, B. (2009)."	Blank	Blank	relational Aggression T1-T2 (b)	Blank	0.08	8.40E-02	8.02E-02	8.45E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Möller, I., & Krahé, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35(1), 75-89.                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
66	"Markey, P. M., & Scherer, K. (2009)."	Blank	Blank	predicting aggressive cognitions	Blank	0.3	8.49E-02	0.309519604	9.33E-02	cognition	antisocial/negative	experimental	antisocial	3	"Markey, P. M., & Scherer, K. (2009). An examination of psychoticism and motion capture controls as moderators of the effects of violent video games. Computers In Human Behavior, 25(2), 407-411.                                                                                                                                                                                                                                                                                                                                                                                                                       "
67	"Markey, P. M., & Scherer, K. (2009)."	Blank	Blank	predicting state hostility	Blank	0.28	8.59E-02	0.287682072	9.33E-02	affect	antisocial/negative	experimental	antisocial	3	"Markey, P. M., & Scherer, K. (2009). An examination of psychoticism and motion capture controls as moderators of the effects of violent video games. Computers In Human Behavior, 25(2), 407-411.                                                                                                                                                                                                                                                                                                                                                                                                                       "
68	"Lin, J. H. (2013)."	Blank	AS vs Neutral/Control	aggressive affect	Blank	2.15E-01	7.59E-02	0.218323943	0.079555728	affect	antisocial/negative	experimental	antisocial	3	"Lin. J. H. (2013). Identification matters: A moderated mediation model of media interactivity, character identification, and video game violence on aggression. Journal of Communication, 63, 682-702."
69	"Lin, J. H. (2013)."	Blank	AS vs Neutral/Control	aggressive cognition	Blank	7.12E-02	7.92E-02	7.13E-02	0.079555728	cognition	antisocial/negative	experimental	antisocial	3	"Lin. J. H. (2013). Identification matters: A moderated mediation model of media interactivity, character identification, and video game violence on aggression. Journal of Communication, 63, 682-702."
70	"Li, D., Choo, H., Khoo, A., & Liau, A. (2012)"	Blank	Blank	approval of aggression	Blank	0.133859244	2.91E-02	1.35E-01	2.96E-02	cognition	antisocial/negative	correlational	antisocial	3	"Li, D., Choo, H., Khoo, A., & Liau, A. (2012). Effects of digital game play among young Singaporean gamers: A two-wave longitudinal study. Journal of Virtual Worlds Research, 5, 1-15."
71	"Li, D., Choo, H., Khoo, A., & Liau, A. (2012)"	Blank	Blank	empathy	Blank	0.188239937	2.86E-02	0.190511819	2.97E-02	affect	prosocial/positive	correlational	antisocial	3	"Li, D., Choo, H., Khoo, A., & Liau, A. (2012). Effects of digital game play among young Singaporean gamers: A two-wave longitudinal study. Journal of Virtual Worlds Research, 5, 1-15."
72	"Lemmens, J. S., Valkenburg, P. M., & Peter, J. (2011). "	Blank	AS vs Neutral/Control	physical aggression	Blank	0.09	4.28E-02	9.02E-02	4.32E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Lemmens, J. S., Valkenburg, P. M., & Peter, J. (2011). The effects of pathological gaming on aggressive behavior. Journal Of Youth And Adolescence, 40(1), 38-47.                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
73	"Lee, K., Peng, W., & Klein, J. (2010). "	Blank	AS vs Neutral/Control	assign jail sentence criminals (lower=positive)	Blank	0.204869051	1.31E-01	0.207809676	1.37E-01	behavior	antisocial/negative	experimental	antisocial	3	"Lee, K., Peng, W., & Klein, J. (2010). Will the experience of playing a violent role in a video game influence people’s judgments of violent crimes?. Computers In Human Behavior, 26(5), 1019-1023.                                                                                                                                                                                                                                                                                                                                                                                                                    "
74	"Lee, K., Peng, W., & Klein, J. (2010). "	Blank	AS vs Neutral/Control	assign jail sentence PO (lower=positive)	Blank	0.484138967	9.98E-02	0.528376325	1.30E-01	behavior	antisocial/negative	experimental	antisocial	3	"Lee, K., Peng, W., & Klein, J. (2010). Will the experience of playing a violent role in a video game influence people’s judgments of violent crimes?. Computers In Human Behavior, 26(5), 1019-1023.                                                                                                                                                                                                                                                                                                                                                                                                                    "
75	"Lee, K., Peng, W., & Klein, J. (2010). "	Blank	AS vs Neutral/Control	"judge police criminals (done crimes, lower=positive)"	Blank	0.177114367	1.33E-01	1.79E-01	1.38E-01	behavior	antisocial/negative	experimental	antisocial	3	"Lee, K., Peng, W., & Klein, J. (2010). Will the experience of playing a violent role in a video game influence people’s judgments of violent crimes?. Computers In Human Behavior, 26(5), 1019-1023.                                                                                                                                                                                                                                                                                                                                                                                                                    "
76	"Lee, K., Peng, W., & Klein, J. (2010). "	Blank	AS vs Neutral/Control	"judge police officers (done crimes, lower=positive)"	Blank	0.395547612	1.12E-01	4.18E-01	1.33E-01	behavior	antisocial/negative	experimental	antisocial	3	"Lee, K., Peng, W., & Klein, J. (2010). Will the experience of playing a violent role in a video game influence people’s judgments of violent crimes?. Computers In Human Behavior, 26(5), 1019-1023.                                                                                                                                                                                                                                                                                                                                                                                                                    "
77	"Lee, K., Peng, W., & Klein, J. (2010). "	Blank	AS vs Neutral/Control	"judge severity of crimes (done by criminals, lower=justified)"	Blank	0.16562311	1.34E-01	0.167162937	1.38E-01	behavior	antisocial/negative	experimental	antisocial	3	"Lee, K., Peng, W., & Klein, J. (2010). Will the experience of playing a violent role in a video game influence people’s judgments of violent crimes?. Computers In Human Behavior, 26(5), 1019-1023.                                                                                                                                                                                                                                                                                                                                                                                                                    "
78	"Lee, K., Peng, W., & Klein, J. (2010). "	Blank	AS vs Neutral/Control	"judge severity of crimes (done by police, lower=justified)"	Blank	0.388994471	1.13E-01	0.410614677	1.33E-01	behavior	antisocial/negative	experimental	antisocial	3	"Lee, K., Peng, W., & Klein, J. (2010). Will the experience of playing a violent role in a video game influence people’s judgments of violent crimes?. Computers In Human Behavior, 26(5), 1019-1023.                                                                                                                                                                                                                                                                                                                                                                                                                    "
79	"Krcmar, M., Farrar, K., & McGloin, R. (2011)."	Blank	low vs. high realism	physically aggressive intentions	Blank	0.23782236	1.01E-01	0.242464651	1.07E-01	cognition	antisocial/negative	experimental	antisocial	3	"Krcmar, M., Farrar, K., & McGloin, R. (2011). The effects of video game realism on attention, retention and aggressive outcomes. Computers In Human Behavior, 27(1), 432-439.                                                                                                                                                                                                                                                                                                                                                                                                                                           "
80	"Krcmar, M., & Farrar, K. (2009)."	Blank	AS vs Neutral/Control	physical aggression                                                                                                                                                                                     	Blank	0.264411482	6.70E-02	2.71E-01	7.20E-02	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M., & Farrar, K. (2009). Retaliatory aggression and the effects of point of view and blood in violent video games. Mass Communication & Society, 12(1), 115-138."
81	"Krcmar, M., & Farrar, K. (2009)."	Blank	AS vs Neutral/Control	verbal aggression                                                                                                                                                                                       	Blank	0.263326015	6.70E-02	2.70E-01	7.20E-02	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M., & Farrar, K. (2009). Retaliatory aggression and the effects of point of view and blood in violent video games. Mass Communication & Society, 12(1), 115-138.                                "
82	"Krcmar, M. & Lachlan, K. (2009)."	10 minuten	AS vs Neutral/Control	arousal	Blank	0.756007782	0.047960406	9.87E-01	1.12E-01	arousal	Blank	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
83	"Krcmar, M. & Lachlan, K. (2009)."	10 minuten	AS vs Neutral/Control	physical aggression	Blank	0.26697503	1.21E-01	0.273603852	1.30E-01	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
84	"Krcmar, M. & Lachlan, K. (2009)."	10 minuten	AS vs Neutral/Control	verbal aggression	Blank	0.303648188	1.17E-01	0.313533451	1.29E-01	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
85	"Krcmar, M. & Lachlan, K. (2009)."	15 minuten	AS vs Neutral/Control	arousal	Blank	0.601734499	7.52E-02	6.96E-01	1.18E-01	arousal	Blank	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
86	"Krcmar, M. & Lachlan, K. (2009)."	15 minuten	AS vs Neutral/Control	physical aggression	Blank	0.410735557	1.04E-01	4.36E-01	1.25E-01	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
87	"Krcmar, M. & Lachlan, K. (2009)."	15 minuten	AS vs Neutral/Control	verbal aggression	Blank	3.11E-01	1.15E-01	3.22E-01	1.27E-01	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
88	"Krcmar, M. & Lachlan, K. (2009)."	20 minuten	AS vs Neutral/Control	arousal	Blank	0.40793801	1.01E-01	0.433135083	1.22E-01	arousal	Blank	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
89	"Krcmar, M. & Lachlan, K. (2009)."	20 minuten	AS vs Neutral/Control	physical aggression	Blank	0.207193011	1.20E-01	0.21023666	1.26E-01	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
90	"Krcmar, M. & Lachlan, K. (2009)."	20 minuten	AS vs Neutral/Control	verbal aggression	Blank	0.223095692	0.119168055	2.27E-01	1.25E-01	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
91	"Krcmar, M. & Lachlan, K. (2009)."	30 minuten	AS vs Neutral/Control	arousal	Blank	0.262143043	1.20E-01	0.268408201	1.29E-01	arousal	Blank	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
92	"Krcmar, M. & Lachlan, K. (2009)."	30 minuten	AS vs Neutral/Control	physical aggression	Blank	0.130100027	1.29E-01	0.130841598	1.31E-01	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
93	"Krcmar, M. & Lachlan, K. (2009)."	30 minuten	AS vs Neutral/Control	verbal aggression	Blank	0.153708946	1.27E-01	0.154936933	1.31E-01	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."
94	"Krahé, B., Busching, R., & Möller, I. (2012). "	Blank	Blank	aggressive norms	T1	0.27	2.24E-02	2.77E-01	2.42E-02	cognition	antisocial/negative	correlational	antisocial	3	"Krahé, B., Busching, R., & Möller, I. (2012). Media violence use and aggression among German adolescents: Associations and trajectories of change in a three-wave longitudinal study. Psychology of Popular Media Culture, 1, 152-166"
95	"Krahé, B., Busching, R., & Möller, I. (2012). "	Blank	Blank	empathy	T1	0.015	2.42E-02	1.50E-02	2.42E-02	affect	prosocial/positive	correlational	antisocial	3	"Krahé, B., Busching, R., & Möller, I. (2012). Media violence use and aggression among German adolescents: Associations and trajectories of change in a three-wave longitudinal study. Psychology of Popular Media Culture, 1, 152-166"
96	"Krahé, B., Busching, R., & Möller, I. (2012). "	Blank	Blank	physical aggression	Blank	0.18	2.34E-02	0.181982689	2.42E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Krahé, B., Busching, R., & Möller, I. (2012). Media violence use and aggression among German adolescents: Associations and trajectories of change in a three-wave longitudinal study. Psychology of Popular Media Culture, 1, 152-166"
97	"Krahé, B., Busching, R., & Möller, I. (2012). "	Blank	Blank	physical aggression	T1	0.335	2.15E-02	0.348449765	2.42E-02	behavior	antisocial/negative	correlational	antisocial	3	"Krahé, B., Busching, R., & Möller, I. (2012). Media violence use and aggression among German adolescents: Associations and trajectories of change in a three-wave longitudinal study. Psychology of Popular Media Culture, 1, 152-166"
98	"Krahé, B., Busching, R., & Möller, I. (2012). "	Blank	Blank	teacher-rated aggression	Blank	0.15	2.36E-02	1.51E-01	2.42E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Krahé, B., Busching, R., & Möller, I. (2012). Media violence use and aggression among German adolescents: Associations and trajectories of change in a three-wave longitudinal study. Psychology of Popular Media Culture, 1, 152-166"
99	"Krahé, B., Busching, R., & Möller, I. (2012). "	Blank	Blank	teacher-rated aggression	T1	-0.09	2.40E-02	-9.02E-02	2.42E-02	behavior	antisocial/negative	correlational	antisocial	3	"Krahé, B., Busching, R., & Möller, I. (2012). Media violence use and aggression among German adolescents: Associations and trajectories of change in a three-wave longitudinal study. Psychology of Popular Media Culture, 1, 152-166"
100	"Krahé, B., & Möller, I. (2011)."	Blank	Blank	aggressive behaviour female	Blank	0.09	2.42E-02	9.02E-02	2.44E-02	behavior	antisocial/negative	correlational	antisocial	3	"Krahé, B., & Möller, I. (2011). Links between self-reported media violence exposure and teacher ratings of aggression and prosocial behavior among German adolescents. Journal Of Adolescence, 34(2), 279-287.                                                                                                                                                                                                                                                                                                                                                                                                          "
101	"Krahé, B., & Möller, I. (2011)."	Blank	Blank	aggressive behaviour male	Blank	0.17	2.37E-02	0.171666664	2.44E-02	behavior	antisocial/negative	correlational	antisocial	3	"Krahé, B., & Möller, I. (2011). Links between self-reported media violence exposure and teacher ratings of aggression and prosocial behavior among German adolescents. Journal Of Adolescence, 34(2), 279-287.                                                                                                                                                                                                                                                                                                                                                                                                          "
102	"Krahé, B., & Möller, I. (2011)."	Blank	Blank	prosocial behaviour female	Blank	0.08	2.42E-02	8.02E-02	2.44E-02	behavior	prosocial/positive	correlational	antisocial	3	"Krahé, B., & Möller, I. (2011). Links between self-reported media violence exposure and teacher ratings of aggression and prosocial behavior among German adolescents. Journal Of Adolescence, 34(2), 279-287.                                                                                                                                                                                                                                                                                                                                                                                                          "
103	"Krahé, B., & Möller, I. (2011)."	Blank	Blank	prosocial behaviour male	Blank	0.08	2.42E-02	8.02E-02	2.44E-02	behavior	prosocial/positive	correlational	antisocial	3	"Krahé, B., & Möller, I. (2011). Links between self-reported media violence exposure and teacher ratings of aggression and prosocial behavior among German adolescents. Journal Of Adolescence, 34(2), 279-287.                                                                                                                                                                                                                                                                                                                                                                                                          "
104	"Krahé, B., & Möller, I. (2010). "	Blank	Blank	empathy	Blank	0.08	2.84E-02	8.02E-02	2.86E-02	affect	prosocial/positive	longitudinal	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."
105	"Krahé, B., & Möller, I. (2010). "	Blank	Blank	empathy (wave1)	T1	0.29	2.61E-02	0.298566264	2.85E-02	affect	prosocial/positive	correlational	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."
106	"Krahé, B., & Möller, I. (2010). "	Blank	Blank	empathy (wave2)	T2	0.35	2.50E-02	0.365443754	2.85E-02	affect	prosocial/positive	correlational	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."
107	"Krahé, B., & Möller, I. (2010). "	Blank	Blank	physical aggression	Blank	0.14	2.80E-02	1.41E-01	2.86E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."
108	"Krahé, B., & Möller, I. (2010). "	Blank	Blank	physical aggression (wave1)	T1	0.45	2.28E-02	0.484700279	2.86E-02	behavior	antisocial/negative	correlational	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."
109	"Krahé, B., & Möller, I. (2010). "	Blank	Blank	physical aggression (wave2)	T2	0.4	2.39E-02	0.42364893	2.85E-02	behavior	antisocial/negative	correlational	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."
110	"Krahé, B., & Möller, I. (2010). "	Blank	Blank	relational aggression	Blank	0.03	2.86E-02	3.00E-02	2.86E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."
111	"Krahé, B., & Möller, I. (2010). "	Blank	Blank	relational aggression (wave1)	T1	0.25	2.68E-02	0.255412812	2.85E-02	behavior	antisocial/negative	correlational	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."
112	"Krahé, B., & Möller, I. (2010). "	Blank	Blank	relational aggression (wave2)	T2	0.21	2.72E-02	0.213171347	2.85E-02	behavior	antisocial/negative	correlational	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."
113	"Koglin, U., Witthöft, J., & Petermann, F. (2009)."	Blank	Blank	Ärger                                                                           	Blank	0.25	7.60E-02	0.255412812	8.11E-02	affect	antisocial/negative	correlational	antisocial	3	"Koglin, U., Witthöft, J., & Petermann, F. (2009). Gewalthaltige computerspiele und aggressives verhalten im jugendalter. Psychologische Rundschau, 60(3), 163-172. doi:10.1026/0033-3042.60.3.163"
114	"Koglin, U., Witthöft, J., & Petermann, F. (2009)."	Blank	Blank	Feindseligkeit	Blank	0.1	8.03E-02	0.100335348	8.11E-02	affect	antisocial/negative	correlational	antisocial	3	"Koglin, U., Witthöft, J., & Petermann, F. (2009). Gewalthaltige computerspiele und aggressives verhalten im jugendalter. Psychologische Rundschau, 60(3), 163-172. doi:10.1026/0033-3042.60.3.163"
115	"Koglin, U., Witthöft, J., & Petermann, F. (2009)."	Blank	Blank	physische Aggression                                                            	Blank	0.2	0.077866282	0.202732554	8.11E-02	behavior	antisocial/negative	correlational	antisocial	3	"Koglin, U., Witthöft, J., & Petermann, F. (2009). Gewalthaltige computerspiele und aggressives verhalten im jugendalter. Psychologische Rundschau, 60(3), 163-172. doi:10.1026/0033-3042.60.3.163"
116	"Koglin, U., Witthöft, J., & Petermann, F. (2009)."	Blank	Blank	verbale Aggression                                                              	Blank	0.14	7.95E-02	0.140925576	8.11E-02	behavior	antisocial/negative	correlational	antisocial	3	"Koglin, U., Witthöft, J., & Petermann, F. (2009). Gewalthaltige computerspiele und aggressives verhalten im jugendalter. Psychologische Rundschau, 60(3), 163-172. doi:10.1026/0033-3042.60.3.163"
117	"Jerabeck, J. M., Ferguson, C. J. (2013)."	Blank	AS vs Neutral/Control	chili	Blank	-0.026005845	0.121165307	-2.60E-02	0.121247307	behavior	antisocial/negative	experimental	antisocial	2	"Jerabeck, J. M., & Ferguson, C. J.  (2013).  The influence of solitary and cooperative violent video game play on aggressive and prosocial behavior.  Computers in Human Behavior, 26, 2573-2578."
118	"Jerabeck, J. M., Ferguson, C. J. (2013)."	Blank	AS vs Neutral/Control	cooperative behavior	Blank	0.182196424	1.16E-01	0.184253592	1.20E-01	behavior	prosocial/positive	experimental	antisocial	2	"Jerabeck, J. M., & Ferguson, C. J.  (2013).  The influence of solitary and cooperative violent video game play on aggressive and prosocial behavior.  Computers in Human Behavior, 26, 2573-2578."
119	"Jerabeck, J. M., Ferguson, C. J. (2013)."	Blank	AS vs Neutral/Control	empathy	Blank	-8.11E-02	1.20E-01	-8.13E-02	1.21E-01	affect	prosocial/positive	experimental	antisocial	2	"Jerabeck, J. M., & Ferguson, C. J.  (2013).  The influence of solitary and cooperative violent video game play on aggressive and prosocial behavior.  Computers in Human Behavior, 26, 2573-2578."
120	"Ivarsson, M., Anderson, M., Åkerstedt, T., & Lindblad, F. (2011)"	Blank	AS vs Neutral/Control	heart rate                                                                      	Blank	9.78E-02	0.226675343	0.098151191	0.228866077	arousal	Blank	experimental	antisocial	3	"Ivarsson, M., Anderson, M., Åkerstedt, T., & Lindblad, F. (2011). 'Playing a violent television game affects heart rate variability': Corrigendum. Acta Paediatrica, 100(9), doi:10.1111/j.1651-2227.2011.02424.x"
121	"Holtz, P., & Appel, M. (2011). "	Blank	AS vs Neutral/Control	externalizing problems                                                                                                                                                                                  	Blank	0.19	6.78E-02	0.192337169	7.04E-02	cognition	antisocial/negative	experimental	antisocial	3	"Holtz, P., & Appel, M. (2011). Internet use and video gaming predict problem behavior in early adolescence. Journal Of Adolescence, 34(1), 49-58. doi:10.1016/j.adolescence.2010.02.004                 "
122	"Hollingdale, J., & Greitemeyer, T. (2013)"	Blank	AS vs Neutral/Control	chili	Blank	0.157689457	8.50E-02	0.159016344	8.72E-02	behavior	antisocial/negative	experimental	antisocial	3	"Hollingdale, J., & Greitemeyer, T. (2013). The changing face of aggression: The effect of personalized avatars in a violent video game on levels of aggressive behavior. Journal of Applied Social Psychology, 43, 1862-1868."
123	"Hasan, Y., Bègue, L., & Bushman, B. J. (2013)"	Blank	Blank	aggressive behaviour	Blank	0.27	1.08E-01	0.276863823	0.116247639	behavior	antisocial/negative	experimental	antisocial	2	"Hasan, Y., Bègue, L., & Bushman, B. J. (2013). Violent video games stress people out and make them more aggressive. Aggressive Behavior, 39(1), 64-70. doi:10.1002/ab.21454"
124	"Hasan, Y., Bègue, L., & Bushman, B. J. (2013)"	Blank	Blank	cardiac coherence	Blank	0.45	9.27E-02	0.484700279	0.116247639	arousal	Blank	experimental	antisocial	2	"Hasan, Y., Bègue, L., & Bushman, B. J. (2013). Violent video games stress people out and make them more aggressive. Aggressive Behavior, 39(1), 64-70. doi:10.1002/ab.21454"
125	"Hasan, Y., Bègue, L., & Bushman, B. J. (2012). "	Blank	AS vs Neutral/Control	Aggressive behaviour	Blank	0.379353281	7.07E-02	0.399304001	8.26E-02	behavior	antisocial/negative	experimental	antisocial	2	"Hasan, Y., Bègue, L., & Bushman, B. J. (2012). Viewing the world through “blood-red tinted glasses”: The hostile expectation bias mediates the link between violent video game exposure and aggression. Journal Of Experimental Social Psychology, 48(4), 953-956.                                                                                                                                                                                                                                                                                                                                                      "
126	"Hasan, Y., Bègue, L., & Bushman, B. J. (2012). "	Blank	Blank	hostile expectation bias	Blank	0.663	4.86E-02	0.798147774	0.086710997	behavior	antisocial/negative	experimental	antisocial	2	"Hasan, Y., Bègue, L., & Bushman, B. J. (2012). Viewing the world through “blood-red tinted glasses”: The hostile expectation bias mediates the link between violent video game exposure and aggression. Journal Of Experimental Social Psychology, 48(4), 953-956.                                                                                                                                                                                                                                                                                                                                                      "
127	"Hartmann, T., & Vorderer, P. (2010)."	Blank	minor misconduct vs high misconduct	negative affect	Blank	0.224432902	0.102300042	0.228319289	0.107726226	affect	antisocial/negative	experimental	antisocial	3	"Hartmann, T., & Vorderer, P. (2010). It's okay to shoot a character: Moral disengagement in violent video games. Journal Of Communication, 60(1), 94-119."
128	"Gunter, W. D., & Daly, K. (2012)."	Females	AS vs Neutral/Control	non-violent deviant behavior	Blank	0.183263114	1.90E-02	0.185357129	1.96E-02	behavior	antisocial/negative	correlational	antisocial	3	"Gunter, W. D., & Daly, K. (2012). Causal or spurious: Using propensity score matching to detangle the relationship between violent video games and violent behavior. Computers in Human Behavior, 28(4), 1348-1355. doi: http://dx.doi.org/10.1016/j.chb.2012.02.020"
