Study	Subgroup.within.study	Comparison	Outcome..specific.	Time.point	Correlation	Std.Err.r	Fisher.s.Z	Std.Err	Outcome.Group	outcome.type	study.design	media.type	Ferguson	Citation	ID	StudyShort	Sample.size
"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). S2"	Blank	AS vs Neutral/Control	feeling bad for egoistic behavior	Blank	-0.198845685	0.179706789	-0.201530431	0.18710484	affect	antisocial/negative	experimental	antisocial	3	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). The delinquent media effect: Delinquency-reinforcing video games increase players attitudinal and behavioral inclination toward delinquent behavior. Psychology Of Popular Media Culture, 1(3), 201-205. doi:10.1037/a0028114"	192	"Fischer,_(2012). S2"	31.564719
"Engelhardt, C. R., Bartholow, B. D., & Saults, S. (2011)."	high trait anger/low trait anger	AS vs Neutral/Control	aggression	Blank	0.030469476	0.162438956	0.03046005	0.115931505	behavior	antisocial/negative	experimental	antisocial	2	"Engelhardt, C. R., Bartholow, B. D., & Saults, J. (2011). Violent and nonviolent video games differentially affect physical aggression for individuals high vs. low in dispositional anger. Aggressive Behavior, 37(6), 539-546. doi:10.1002/ab.20411"	231/232	Engelhar_S. (2011).	74.40413129
"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). S1"	Blank	AS vs Neutral/Control	aggressive emotions	Blank	0.282736809	0.18	0.290654181	0.195962236	affect	antisocial/negative	experimental	antisocial	3	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). The delinquent media effect: Delinquency-reinforcing video games increase players attitudinal and behavioral inclination toward delinquent behavior. Psychology Of Popular Media Culture, 1(3), 201-205. doi:10.1037/a0028114"	194	"Fischer,_(2012). S1"	29.04085429
"Hasan, Y., Bègue, L., & Bushman, B. J. (2013)"	Blank	Blank	aggressive behaviour	Blank	0.27	0.108	0.276863823	0.116247639	behavior	antisocial/negative	experimental	antisocial	2	"Hasan, Y., Bègue, L., & Bushman, B. J. (2013). Violent video games stress people out and make them more aggressive. Aggressive Behavior, 39(1), 64-70. doi:10.1002/ab.21454"	123	"Hasan, Y_ J. (2013)"	76.99999967
"Ferguson, C. J., & Rueda, S. M. (2010)."	Blank	Blank	trait aggression	Blank	0.27	0.09271	0.276863823	0.1	cognition	antisocial/negative	correlational	antisocial	1	"Ferguson, C. J., & Rueda, S. M. (2010). The Hitman study: Violent video game exposure effects on aggressive behavior, hostile feelings, and depression. European Psychologist, 15(2), 99-108.                                                                                                                                                                                                                                                                                                                                                                                                                           "	204	Ferguson_M. (2010).	103
"Ferguson, C. J., & Olson, C. K. (2013)."	Blank	Blank	Bullying bzw. Delinquency	Blank	0.0175	0.0517	0.0175	0.0517	behavior	antisocial/negative	correlational	antisocial	1	"Ferguson, C. J., & Olson, C. K. (2013). Video Game Violence Use Among \Vulnerable\"" Populations: The Impact of Violent Games on Delinquency and Bullying Among Children with Clinically Elevated Depression or Attention Deficit Symptoms. Journal Of Youth And Adolescence. """	205	Ferguson_K. (2013).	377.1268814
"Ferguson, C. J.  et al. (2013)"	Blank	Blank	bullying	Blank	0.09	0.0546	0.0902	0.055048188	behavior	antisocial/negative	correlational	antisocial	1	"Ferguson, C. J., Garza, A., Jerabeck, J., Ramos, R., & Galindo, M. (2013). Not worth the fuss after all? Cross-sectional and prospective data on violent video game influences on aggression, visuospatial cognition and mathematics ability in a sample of youth. Journal Of Youth And Adolescence, 42(1), 109-122. doi:10.1007/s10964-012-9803-6"	222	Ferguson_al. (2013)	333.0000031
"Ferguson, C. J.  et al. (2013)"	Blank	Blank	civic engagement	Blank	-0.11	0.0544	-0.110446916	0.055048188	behavior	prosocial/positive	correlational	antisocial	1	"Ferguson, C. J., Garza, A., Jerabeck, J., Ramos, R., & Galindo, M. (2013). Not worth the fuss after all? Cross-sectional and prospective data on violent video game influences on aggression, visuospatial cognition and mathematics ability in a sample of youth. Journal Of Youth And Adolescence, 42(1), 109-122. doi:10.1007/s10964-012-9803-6"	223	Ferguson_al. (2013)	333.0000031
"Ferguson, C. J.  et al. (2013)"	Blank	Blank	trait aggression	Blank	-0.06	0.0549	-0.0601	0.055	cognition	antisocial/negative	correlational	antisocial	1	"Ferguson, C. J., Garza, A., Jerabeck, J., Ramos, R., & Galindo, M. (2013). Not worth the fuss after all? Cross-sectional and prospective data on violent video game influences on aggression, visuospatial cognition and mathematics ability in a sample of youth. Journal Of Youth And Adolescence, 42(1), 109-122. doi:10.1007/s10964-012-9803-6"	224	Ferguson_al. (2013)	333.5785124
"Espinosa, P, & Clemente, M. (2013)"	Blank	Blank	aggressive behavior	Blank	0.225	0.0371	0.228916547	0.039	behavior	antisocial/negative	correlational	antisocial	3	"Espinosa, E., & Clemente, M. (2013): Self-transcendence and self-oriented perspective as mediators between video game playing and aggressive behaviour in teenagers. Journal of Community and Applied Social Psychology, 23(1), 68-80."	228	Espinosa_ M. (2013)	660.4621959
"Engelhardt, C. R., Bartholow, B. D., Kerr, G. T., & Bushman, B. J. (2011). "	Blank	AS vs Neutral/Control	aggressive	Blank	0.330350425	0.108	0.343221555	0.122	affect	antisocial/negative	experimental	antisocial	2	"Engelhardt, C. R., Bartholow, B. D., Kerr, G. T., & Bushman, B. J. (2011). This is your brain on violent video games: Neural desensitization to violence predicts increased aggression following violent video game exposure. Journal Of Experimental Social Psychology, 47(5), 1033-1036.                                                                                                                                                                                                                                                                                                                              "	229	Engelhar_. (2011). 	70.18624026
"Engelhardt, C. R., Bartholow, B. D., Kerr, G. T., & Bushman, B. J. (2011). "	Blank	AS vs Neutral/Control	smaller P3 amplitudes to violent images	Blank	0.39114064	0.0973	0.413145995	0.115	cognition	antisocial/negative	experimental	antisocial	2	"Engelhardt, C. R., Bartholow, B. D., Kerr, G. T., & Bushman, B. J. (2011). This is your brain on violent video games: Neural desensitization to violence predicts increased aggression following violent video game exposure. Journal Of Experimental Social Psychology, 47(5), 1033-1036.                                                                                                                                                                                                                                                                                                                              "	230	Engelhar_. (2011). 	78.61436673
"Chittaro, L., & Sioni, R. (2012)"	Blank	Blank	trait aggression	Blank	0.403	0.134	0.427	0.16	cognition	antisocial/negative	correlational	antisocial	2	"Chittaro, L., & Sioni, R. (2012). Killing non-human animals in video games: A study on user experience and desensitization to violence aspects. Psychnology Journal, 10(3), 215-243.                                                                                                                                                                                                                                                                                                                                                                                                                                    "	237	Chittaro_ R. (2012)	42.0625
"Jerabeck, J. M., Ferguson, C. J. (2013)."	Blank	AS vs Neutral/Control	cooperative behavior	Blank	0.182196424	0.116	0.184253592	0.12	behavior	prosocial/positive	experimental	antisocial	2	"Jerabeck, J. M., & Ferguson, C. J.  (2013).  The influence of solitary and cooperative violent video game play on aggressive and prosocial behavior.  Computers in Human Behavior, 26, 2573-2578."	118	Jerabeck_J. (2013).	72.44444444
"Bowen, H. J., & Spaniol, J. (2011)"	Blank	Blank	trait aggression	Blank	-0.01	0.0917	-0.01	0.0917	cognition	antisocial/negative	correlational	antisocial	3	"Bowen, H. J., & Spaniol, J. (2011). Chronic exposure to violent video games is not associated with alterations of emotional memory. Applied Cognitive Psychology, 25(6), 906-916. doi:10.1002/acp.1767"	244	"Bowen, H_ J. (2011)"	121.9217602
"Bösche, W. (2010)."	Blank	AS vs Neutral/Control	LDT: aggressive words	Blank	0.4998	0.153	0.549039513	0.204	cognition	antisocial/negative	experimental	antisocial	3	"Bösche, W. (2010). Violent video games prime both aggressive and positive cognitions. Journal Of Media Psychology: Theories, Methods, And Applications, 22(4), 139-146. doi:10.1027/1864-1105/a000019"	245	"Bösche, _W. (2010)."	27.02921953
"Bösche, W. (2010)."	Blank	AS vs Neutral/Control	LDT: positive words	Blank	-0.3725	0.176	-0.391322751	0.204	cognition	prosocial/positive	experimental	antisocial	3	"Bösche, W. (2010). Violent video games prime both aggressive and positive cognitions. Journal Of Media Psychology: Theories, Methods, And Applications, 22(4), 139-146. doi:10.1027/1864-1105/a000019"	246	"Bösche, _W. (2010)."	27.02921953
"Bluemke, M. & Zumbach, J. (2012)."	Blank	AS vs Neutral/Control	BPAQ	Blank	0.373246801	0.107	0.392190151	0.12452198	cognition	antisocial/negative	correlational	antisocial	3	"Bluemke, M. & Zumbach, J. (2012). Assessing Aggressiveness via Reaction Times Online. Cyberpsychology: Journal of Psychosocial Research on Cyberspace, 6(1), article 5.                                                                                                                                                                                                                                                                                                                                                                                                                                                 "	250	"Bluemke,_J. (2012)."	67.49231471
"Barlett, C. P., & Rodeheffer, C. (2009)"	45 min (T4)	AS vs Neutral/Control	hostile feelings	Blank	0.38708836	0.117	0.408370671	0.137401638	affect	antisocial/negative	experimental	antisocial	3	"Barlett, C. P., & Rodeheffer, C. (2009). Effects of realism on extended violent and nonviolent video game play on aggressive thoughts, feelings, and physiological arousal. Aggressive Behavior, 35(3), 213-224. doi:10.1002/ab.20279"	251	"Barlett,_ C. (2009)"	55.96831771
"Arriaga, P., Monteiro, M. B., & Esteves, F. (2011)."	Blank	AS vs Neutral/Control	less discomfort (higher emotional desensitization)	Blank	0.354468149	0.12	0.370544797	0.137	affect	antisocial/negative	experimental	antisocial	3	"Arriaga, P., Monteiro, M. B., & Esteves, F. (2011). Effects of Playing Violent Computer Games on Emotional Desensitization and Aggressive Behavior1. Journal of Applied Social Psychology, 41(8), 1900-1925. doi: 10.1111/j.1559-1816.2011.00791.x"	257	"Arriaga,_F. (2011)."	56.2793436
"Anderson, C. A., & Carnagey, N. L. (2009). S2"	Blank	AS vs Neutral/Control	Aggravation	Blank	0.265156483	0.0741	0.271646761	0.0797	cognition	antisocial/negative	experimental	antisocial	2	"Anderson, C. A., & Carnagey, N. L. (2009). Causal effects of violent sports video games on aggression: Is it competitiveness or violent content? Journal of Experimental Social Psychology, 45(4), 731-739. doi: http://dx.doi.org/10.1016/j.jesp.2009.04.019"	262	Anderson_(2009). S2	160.4284999
"Anderson, C. A., & Carnagey, N. L. (2009). S2"	Blank	AS vs Neutral/Control	Feeling mean	Blank	0.157990501	0.0808	0.15932508	0.0828	affect	antisocial/negative	experimental	antisocial	2	"Anderson, C. A., & Carnagey, N. L. (2009). Causal effects of violent sports video games on aggression: Is it competitiveness or violent content? Journal of Experimental Social Psychology, 45(4), 731-739. doi: http://dx.doi.org/10.1016/j.jesp.2009.04.019"	263	Anderson_(2009). S2	148.8610469
"Anderson, C. A., & Carnagey, N. L. (2009). S1"	Blank	AS vs Neutral/Control	Aggressive cognition	Blank	0.242408768	0.0854	0.24733168	0.0907	cognition	antisocial/negative	experimental	antisocial	2	"Anderson, C. A., & Carnagey, N. L. (2009). Causal effects of violent sports video games on aggression: Is it competitiveness or violent content? Journal of Experimental Social Psychology, 45(4), 731-739. doi: http://dx.doi.org/10.1016/j.jesp.2009.04.019"	264	Anderson_(2009). S1	124.5585262
"Jerabeck, J. M., Ferguson, C. J. (2013)."	Blank	AS vs Neutral/Control	chili	Blank	-0.026005845	0.121165307	-0.026	0.121247307	behavior	antisocial/negative	experimental	antisocial	2	"Jerabeck, J. M., & Ferguson, C. J.  (2013).  The influence of solitary and cooperative violent video game play on aggressive and prosocial behavior.  Computers in Human Behavior, 26, 2573-2578."	117	Jerabeck_J. (2013).	71.02300246
"Adachi, P. J. C., & Willoughby, T. (2011). S2"	Blank	AS vs Neutral/Control	hot chili sauce	Blank	0.042	0.129	0.042	0.129	behavior	antisocial/negative	experimental	antisocial	3	"Adachi, P. J. C., & Willoughby, T. (2011). The effect of video game competition and violence on aggressive behavior: Which characteristic has the greatest influence? Psychology of Violence, 1(4), 259-274. doi: 10.1037/a0024908"	265	"Adachi, _(2011). S2"	63.09254252
"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011)."	Blank	Blank	beliefs about aggression/hostile expectations	Blank	0.244784321	0.0327	0.240009621	0.0355	cognition	antisocial/negative	correlational	antisocial	3	"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011). Exposure to violent computer games and Chinese adolescents’ physical aggression: The role of beliefs about aggression, hostile expectations, and empathy. Computers In Human Behavior, 27(5), 1675-1687.                                                                                                                                                                                                                                                                                                                                                       "	3-Jan	"Zhen, S._D. (2011)."	796.4933545
"Ewoldsen, D. R. et al. (2011)"	cooperation-game/direct competition/indirect competition	AS vs Neutral/Control	cooperation (tit-for-tat)	Blank	-0.01855847	0.124	-0.01855634	0.072863409	behavior	prosocial/positive	experimental	antisocial	3	"Ewoldsen, D. R., Eno, C. A., Okdie, B. M., Velez, J. A., Guadagno, R. E., & DeCoster, J. (2012). Effect of playing violent video games cooperatively or competitively on subsequent cooperative behavior. Cyberpsychology, Behavior, And Social Networking, 15(5), 277-280. doi:10.1089/cyber.2011.0308"	225/226/227	Ewoldsen_al. (2011)	188.3566827
"Thomas, K. D., & Levant, R. F. (2012)."	Blank	Blank	Anger/total aggression	Blank	0.216587679	0.075	0.213263318	0.0778	affect	antisocial/negative	experimental	antisocial	3	"Thomas, K. D., & Levant, R. F. (2012). Does the Endorsement of Traditional Masculinity Ideology Moderate the Relationship Between Exposure to Violent Video Games and Aggression?. The Journal Of Men's Studies, 20(1), 47-56. doi:10.3149/jms.2001.47                                                                                                                                                                                                                                                                                                                                                                  "	17/19	"Thomas, _F. (2012)."	168.2117023
"Teng, S., Chong, G., Siew, A., & Skoric, M. M. (2011)."	Blank	AS vs Neutral/Control	attitudes towards violence/proviolence attitudes	Blank	0.186002065	0.0835	0.183886316	0.0863	cognition	antisocial/negative	experimental	antisocial	3	"Teng, S., Chong, G., Siew, A., & Skoric, M. M. (2011). Grand Theft Auto IV comes to Singapore: Effects of repeated exposure to violent video games on aggression. Cyberpsychology, Behavior, And Social Networking, 14(10), 597-602.                                                                                                                                                                                                                                                                                                                                                                                    "	20/22	"Teng, S._M. (2011)."	137.2698206
"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012a)."	Blank	AS vs Neutral/Control	Aggravated Feelings/Mean Feelings/Total state hostility	Blank	0.120302338	0.0666	0.119725314	0.0673	affect	antisocial/negative	experimental	antisocial	2	"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012). Effects of prosocial, neutral, and violent video games on college students' affect. Aggressive Behavior, 38(4), 263-271. doi:10.1002/ab.21427                                                                                                                                                                                                                                                                                                                                                                                                                     "	27/28/30	"Saleem, _. (2012a)."	223.7851562
"Saleem, M., & Anderson, C. A. (2013). S2"	Blank	AS vs Neutral/Control	explicit Anti-Arab attitudes/implicit Anti-Arab attitude/implicit Anti-Arab attitude (Arab-terrorist/Arab-golf)	Blank	0.20036798	0.0617	0.197728939	0.0629	cognition	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"	31/32/33	"Saleem, _(2013). S2"	255.754391
"Saleem, M., & Anderson, C. A. (2013). S1"	Blank	AS vs Neutral/Control	anticipated affect in arab drawings (more=positive)/anticipated affect in russian drawings (more=positive)/explicit Anti-Arab Attitude (arab-game)/explicit Anti-Arab Attitude (russian game)/implicit Anti-Arab attitude/stereotypical traits	Blank	0.248871781	0.0599	0.243857827	0.0735	cognition	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"	35/36/37/38/39/40	"Saleem, _(2013). S1"	188.1080568
"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S2"	Blank	Blank	empathy	T1/T2/T3	0.142868753	0.0178	0.14190457	0.0182	affect	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"	41/42/43	"Prot, S._ press) S2"	3021.959063
"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S2"	Blank	Blank	help	T1/T2/T3	0.135610163	0.0178	0.134784937	0.0182	behavior	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"	44/45/46	"Prot, S._ press) S2"	3021.959063
"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012)."	Blank	AS vs Neutral/Control	physical Aggression T1-violetn game T1/relational AggressionT1-violent game T1	T1	0.272960969	0.0351	0.266377866	0.0383	behavior	antisocial/negative	correlational	antisocial	3	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012). Efficacy of an intervention to reduce the use of media violence and aggression: An experimental evaluation with adolescents in Germany. Journal Of Youth And Adolescence, 41(2), 105-120.                                                                                                                                                                                                                                                                                                                                                                     "	50/53	"Möller, _C. (2012)."	684.7143753
"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012)."	Blank	AS vs Neutral/Control	physical Aggression T2-violent game T1/relational Aggression T2- violent game T1	Blank	0.106015621	0.0375	0.105620218	0.0383	behavior	antisocial/negative	longitudinal	antisocial	3	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012). Efficacy of an intervention to reduce the use of media violence and aggression: An experimental evaluation with adolescents in Germany. Journal Of Youth And Adolescence, 41(2), 105-120.                                                                                                                                                                                                                                                                                                                                                                     "	51/52	"Möller, _C. (2012)."	684.7143753
"Möller, I., Krahé, B., & Busching, R. (2013). "	Blank	Blank	physisch aggr (1 ohne Migration)/relational (1 ohne Migration)	Blank	0.310395905	0.0266	0.300797224	0.0309	behavior	antisocial/negative	correlational	antisocial	3	"Möller, I., Krahé, B., & Busching, R. (2013). Mediengewaltkonsum und aggressives Verhalten: Ein längsschnittlicher Vergleich von Jugendlichen mit und ohne Migrationshintergrund. Zeitschrift für Entwicklungspsychologie und Pädagogische Psychologie, 45, 121-130."	57/59	"Möller, _. (2013). "	1050.328788
"Möller, I., Krahé, B., & Busching, R. (2013). "	Blank	Blank	physisch/relational	Blank	0.03005905	0.0308	0.03005	0.0309	behavior	antisocial/negative	longitudinal	antisocial	3	"Möller, I., Krahé, B., & Busching, R. (2013). Mediengewaltkonsum und aggressives Verhalten: Ein längsschnittlicher Vergleich von Jugendlichen mit und ohne Migrationshintergrund. Zeitschrift für Entwicklungspsychologie und Pädagogische Psychologie, 45, 121-130."	56/58	"Möller, _. (2013). "	1050.328788
"Möller, I., & Krahé, B. (2009)."	Blank	Blank	hostile attribution (mean) T1/normative beliefs (mean) T1	T1	0.169715093	0.0582	0.168104204	0.0585	cognition	antisocial/negative	correlational	antisocial	3	"Möller, I., & Krahé, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35(1), 75-89.                                                                                                                                                                                                                                                                                                                                                                                                                                                       "	60/61	"Möller, _B. (2009)."	295.2054204
"Möller, I., & Krahé, B. (2009)."	Blank	Blank	physical aggression T1 (a)/relational Aggression T1 (b)	T1	0.329118037	0.0717	0.317728072	0.0845	behavior	antisocial/negative	correlational	antisocial	3	"Möller, I., & Krahé, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35(1), 75-89.                                                                                                                                                                                                                                                                                                                                                                                                                                                       "	62/64	"Möller, _B. (2009)."	143.0511187
"Möller, I., & Krahé, B. (2009)."	Blank	Blank	physical aggression T1-T2 (a)/relational Aggression T1-T2 (b)	Blank	0.180465854	0.0784	0.178531912	0.0845	behavior	antisocial/negative	longitudinal	antisocial	3	"Möller, I., & Krahé, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35(1), 75-89.                                                                                                                                                                                                                                                                                                                                                                                                                                                       "	63/65	"Möller, _B. (2009)."	143.0511187
"Gitter, S.A., Ewell, P.J., Guadagno, R.E.,Stillman, T.F., & Baumeister, R. (2013) S1"	Blank	AS vs Neutral/Control	aggressive	Blank	0.406329391	0.109	0.431206843	0.13	behavior	antisocial/negative	experimental	antisocial	3	"Gitter, S.A., Ewell, P.J., Guadagno, R.E.,Stillman, T.F., & Baumeister, R. (2013): Virtually Justifiable Homicide: The Effects of Prosocial Contexts on the Link Between Violent Video Games, Aggression, and Prosocial and Hostile Cognition, Aggressive Behaviour, 9999, 1-9."	147	"Gitter, _ (2013) S1"	62.17159763
"Greitemeyer, T., & McLatchie, N. (2011). S2"	Blank	AS vs Neutral/Control	other player´s aggressive behaviour	Blank	0.732019683	0.0628	0.933	0.135	behavior	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T., & McLatchie, N. (2011). Denying humanness to others: A newly discovered mechanism by which violent video games increase aggressive behavior. Psychological Science, 22(5), 659-665.                                                                                                                                                                                                                                                                                                                                                                                                                    "	138	Greiteme_(2011). S2	57.8696845
"Krahé, B., Busching, R., & Möller, I. (2012). "	Blank	Blank	physical aggression/teacher-rated aggression	T1	0.129849792	0.0215	0.129124883	0.0242	behavior	antisocial/negative	correlational	antisocial	3	"Krahé, B., Busching, R., & Möller, I. (2012). Media violence use and aggression among German adolescents: Associations and trajectories of change in a three-wave longitudinal study. Psychology of Popular Media Culture, 1, 152-166"	97/99	"Krahé, B_. (2012). "	1710.533638
"Krahé, B., Busching, R., & Möller, I. (2012). "	Blank	Blank	physical aggression/teacher-rated aggression	Blank	0.168055792	0.0234	0.166491345	0.0242	behavior	antisocial/negative	longitudinal	antisocial	3	"Krahé, B., Busching, R., & Möller, I. (2012). Media violence use and aggression among German adolescents: Associations and trajectories of change in a three-wave longitudinal study. Psychology of Popular Media Culture, 1, 152-166"	96/98	"Krahé, B_. (2012). "	1710.533638
"Krahé, B., & Möller, I. (2011)."	Blank	Blank	prosocial behaviour female/prosocial behaviour male	Blank	0.080372617	0.0242	0.0802	0.0244	behavior	prosocial/positive	correlational	antisocial	3	"Krahé, B., & Möller, I. (2011). Links between self-reported media violence exposure and teacher ratings of aggression and prosocial behavior among German adolescents. Journal Of Adolescence, 34(2), 279-287.                                                                                                                                                                                                                                                                                                                                                                                                          "	102/103	"Krahé, B_I. (2011)."	1682.656006
"Krahé, B., & Möller, I. (2011)."	Blank	Blank	aggressive behaviour female/aggressive behaviour male	Blank	0.131689344	0.0242	0.130933332	0.0244	behavior	antisocial/negative	correlational	antisocial	3	"Krahé, B., & Möller, I. (2011). Links between self-reported media violence exposure and teacher ratings of aggression and prosocial behavior among German adolescents. Journal Of Adolescence, 34(2), 279-287.                                                                                                                                                                                                                                                                                                                                                                                                          "	100/101	"Krahé, B_I. (2011)."	1682.656006
"Krahé, B., & Möller, I. (2010). "	Blank	Blank	empathy (wave1)/empathy (wave2)	T1/T2	0.345079968	0.0261	0.332005009	0.0285	affect	prosocial/positive	correlational	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."	105/106	"Krahé, B_. (2010). "	1234.148046
"Krahé, B., & Möller, I. (2010). "	Blank	Blank	physical aggression (wave1)/physical aggression (wave2)/relational aggression (wave1)/relational aggression (wave2)	T1/T2	0.358609174	0.0228	0.343988369	0.0286	behavior	antisocial/negative	correlational	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."	108/109/111/112	"Krahé, B_. (2010). "	1225.55367
"Krahé, B., & Möller, I. (2010). "	Blank	Blank	physical aggression/relational aggression	Blank	0.085709261	0.028	0.0855	0.0286	behavior	antisocial/negative	longitudinal	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."	107/110	"Krahé, B_. (2010). "	1225.55367
"Koglin, U., Witthöft, J., & Petermann, F. (2009)."	Blank	Blank	Ärger                                                                           /Feindseligkeit	Blank	0.179786447	0.076	0.17787408	0.0811	affect	antisocial/negative	correlational	antisocial	3	"Koglin, U., Witthöft, J., & Petermann, F. (2009). Gewalthaltige computerspiele und aggressives verhalten im jugendalter. Psychologische Rundschau, 60(3), 163-172. doi:10.1026/0033-3042.60.3.163"	113/114	"Koglin, _F. (2009)."	155.0401508
"Koglin, U., Witthöft, J., & Petermann, F. (2009)."	Blank	Blank	physische Aggression                                                            /verbale Aggression                                                              	Blank	0.173550767	0.077866282	0.171829065	0.0811	behavior	antisocial/negative	correlational	antisocial	3	"Koglin, U., Witthöft, J., & Petermann, F. (2009). Gewalthaltige computerspiele und aggressives verhalten im jugendalter. Psychologische Rundschau, 60(3), 163-172. doi:10.1026/0033-3042.60.3.163"	115/116	"Koglin, _F. (2009)."	155.0401508
"Lee, K., Peng, W., & Klein, J. (2010). "	Blank	AS vs Neutral/Control	"assign jail sentence criminals (lower=positive)/assign jail sentence PO (lower=positive)/judge police criminals (done crimes, lower=positive)/judge police officers (done crimes, lower=positive)/judge severity of crimes (done by criminals, lower=justified)/judge severity of crimes (done by police, lower=justified)"	Blank	0.336637983	0.131	0.324472628	0.137	behavior	antisocial/negative	experimental	antisocial	3	"Lee, K., Peng, W., & Klein, J. (2010). Will the experience of playing a violent role in a video game influence people’s judgments of violent crimes?. Computers In Human Behavior, 26(5), 1019-1023.                                                                                                                                                                                                                                                                                                                                                                                                                    "	73/74/75/76/77/78	"Lee, K.,_. (2010). "	56.2793436
"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	overall hostile attribution 1/1/overall hostile attribution 2/2/physical hostile attribution 1/1/physical hostile attribution 2/2/relational hostile attribution 1/1/relational hostile attribution 2/2	T1/T2	0.175248015	0.0531	0.173475719	0.0545	cognition	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "	148/150/154/156/163/165	"Gentile,_A. (2011)."	339.6719973
"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	overall hostile attribution 1/2/physical hostile attribution 1/2/relational hostile attribution 1/2	Blank	0.212864925	0.0518	0.209707072	0.0545	cognition	antisocial/negative	longitudinal	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "	149/155/164	"Gentile,_A. (2011)."	339.6719973
